"","token","count","frequency","general_frequency","relative_frequency"
"7894","horac",112,0.000665312280951872,0.000158626528032647,4.19420565527945
"6753","gent",174,0.00103361015076452,0.000289284694543748,3.57298595556428
"12585","pope",159,0.000944505827422747,0.000289702132775413,3.26026535729704
"3597","considerd",120,0.000712834586734148,0.000256724512473889,2.77665182753692
"15081","spain",111,0.000659371992729087,0.000238357230280635,2.76631840348522
"10643","miscellani",179,0.00106331159187844,0.000387800117216655,2.74190631893076
"3753","corpor",134,0.000795998621853132,0.000323097191308602,2.46365070098317
"3431","compleat",220,0.00130686340901261,0.000541417386469324,2.41378175447022
"14265","scheme",116,0.00068907343384301,0.000295963706250386,2.32823626441565
"13621","repair",184,0.00109301303299236,0.000472540078244622,2.31305889873437
"5735","exact",102,0.000605909398724026,0.000277178985825467,2.18598605850139
"5366","elizabeth",205,0.00121775908567084,0.000560202106894243,2.1737852655037
"1420","bart",132,0.000784118045407563,0.000370685149718396,2.11532090239721
"13399","reason",460,0.0027325325824809,0.00133914184718087,2.04051018809797
"5572","epistl",260,0.00154447493792399,0.000760572458093376,2.03067429209272
"17331","wherein",114,0.000677192857397441,0.000338124967648537,2.00278867930672
"11942","pastor",113,0.000671252569174656,0.000340212158806861,1.97304109156112
"5511","enquiri",151,0.00089698352164047,0.000456259987209693,1.96594824614376
"9272","learn",158,0.000938565539199962,0.000483810910499573,1.93994289676274
"17417","wife",322,0.00191277280773663,0.00100185175599567,1.909237365997
"14063","sacrament",189,0.00112271447410628,0.000588587906647453,1.90747118897017
"16961","vindic",293,0.00174050444927588,0.000936731391855947,1.85806140843365
"12983","proper",129,0.000766297180739209,0.00041827310812819,1.83204983980074
"13690","respond",877,0.00520963277138207,0.00285360775166099,1.82563029847032
"1286","ballad",100,0.000594028822278457,0.000326436697161921,1.81973665167861
"13575","religion",369,0.00219196635420751,0.00121891963646139,1.7982861942982
"660","ann",128,0.000760356892516425,0.000426621872761488,1.78227358010197
"790","appel",891,0.00529279680650105,0.00297090789475881,1.78154187002513
"204","administr",170,0.00100984899787338,0.000571472939149194,1.76709854254312
"4818","doctor",139,0.000825700062967055,0.000467530819464644,1.76608691575144
"17416","widow",167,0.000992028133205023,0.000562289298052567,1.76426643124956
"13096","publick",219,0.00130092312078982,0.000756815514008392,1.71894351623373
"10079","margaret",108,0.000641551128060734,0.000374024655571715,1.71526427069384
"7022","gracious",145,0.000861341792303763,0.000504265383851152,1.70811207726686
"13177","quaker",113,0.000671252569174656,0.000396566320081618,1.69266156802349
"8501","intitul",249,0.00147913176747336,0.000878290039422867,1.68410399877165
"16479","twenti",115,0.000683133145620225,0.000409089467031563,1.66988690903528
"13854","road",156,0.000926684962754393,0.000556027724577594,1.66661646855538
"11487","offer",149,0.000885102945194901,0.000533068621836027,1.66039213140398
"4048","curious",152,0.000902923809863255,0.000544756892322643,1.6574802863228
"13558","reign",324,0.0019246533841822,0.00117258399274659,1.64137784251515
"5832","explain",168,0.000997968421427808,0.000625322471033961,1.59592605040673
"10083","mari",242,0.00143754974991387,0.000905006086249418,1.5884420798444
