"","token","count","frequency","general_frequency","relative_frequency"
"15169","sacheverel",240,0.00130364640763937,0.000110203693159523,11.8294257684477
"1400","bangor",174,0.000945143645538542,9.60107932829179e-05,9.84413953078648
"17470","tori",118,0.000640959483756023,7.76435110896641e-05,8.25515841260491
"8775","impeach",140,0.000760460404456298,9.97677373679017e-05,7.62230781732614
"12347","offerd",230,0.00124932780732106,0.000204962171747447,6.09540676052397
"18796","whig",169,0.000917984345379388,0.000161966033885966,5.66775837720214
"9070","insur",131,0.000711573664169822,0.000129823290047772,5.48109406184346
"16226","southsea",115,0.00062466390366053,0.000128570975352777,4.85851415489816
"13693","preachd",849,0.00461164916702426,0.0010323247469072,4.46724655283191
"13794","pretend",198,0.00107550828630248,0.000263403524180527,4.0831203365577
"11382","ministri",126,0.000684414364010668,0.00017866356315256,3.83074395211881
"4570","deceasd",126,0.000684414364010668,0.000182420507237544,3.75184991191499
"3830","considerd",175,0.000950575505570373,0.000256724512473889,3.70270643971737
"17738","tryal",146,0.000793051564647282,0.000234182847963987,3.38646306312425
"14447","rebellion",138,0.000749596684392637,0.000226251521562354,3.31311223551727
"1873","bishop",595,0.00323195671893927,0.00101896672349392,3.17179810137199
"14120","publishd",114,0.0006192320436287,0.000198283160040809,3.12296840287019
"14248","queen",498,0.00270506629585169,0.000874533095337883,3.09315486203134
"12483","ordinari",117,0.000635527623724192,0.000212893498149079,2.98519038509651
"11981","newgat",104,0.000564913443310393,0.000189934395407512,2.97425562178114
"8604","humbl",796,0.00432376058533724,0.00145978149613202,2.96192313493074
"922","archbishop",126,0.000684414364010668,0.000232513095037327,2.94355190575736
"14723","represent",129,0.00070070994410616,0.000246705994913933,2.84026314135826
"9440","judgment",150,0.000814779004774605,0.00029972065033537,2.71846135347336
"15577","secret",153,0.000831074584870097,0.000306399662042008,2.712387407125
"14436","reason",668,0.00362848250126291,0.00133914184718087,2.70955799708709
"6168","exact",135,0.000733301104297144,0.000277178985825467,2.64558693767242
"13522","poperi",104,0.000564913443310393,0.000215398127539068,2.62264788354732
"18343","vindic",450,0.00244433701432381,0.000936731391855947,2.60943215480464
"5078","dissent",202,0.0010972357264298,0.000421195175749844,2.60505292938462
"14107","publick",349,0.00189571915110891,0.000756815514008392,2.50486296332437
"17716","true",665,0.00361218692116742,0.00148357547533691,2.43478473540222
"17077","tempor",154,0.000836506444901928,0.000349395799903488,2.39415140403231
"18783","wherein",147,0.000798483424679113,0.000338124967648537,2.36150388488641
"9271","jamess",120,0.000651823203819684,0.000280101053447121,2.32710015117004
"7242","gent",123,0.000668118783915176,0.000289284694543748,2.30955455479217
"1944","bless",127,0.000689846224042499,0.000300138088567035,2.29842945737433
"7631","greatbritain",195,0.00105921270620699,0.000467113381232979,2.26757089127081
"696","ann",177,0.000961439225634034,0.000426621872761488,2.25360978191465
"14031","protest",316,0.0017164677700585,0.000763911963946695,2.24694447929641
"14045","prove",124,0.000673550643947007,0.000306399662042008,2.19827476133006
"12927","peac",332,0.00180337753056779,0.000828197451623083,2.17747292874854
"7531","gracious",201,0.00109180386639797,0.000504265383851152,2.16513744818194
"16291","speech",597,0.00324282043900293,0.00152782392789339,2.12250926287967
"15597","secur",131,0.000711573664169822,0.000343969102891845,2.06871389955499
"1363","ballad",124,0.000673550643947007,0.000326436697161921,2.06334229516147
"16450","state",125,0.000678982503978837,0.000341464473501856,1.98844259555203
"12346","offer",193,0.00104834898614333,0.000533068621836027,1.96663045469182
"963","argument",120,0.000651823203819684,0.000332280832405229,1.96166356964208
"4439","danger",129,0.00070070994410616,0.00035899687923178,1.95185525179387
"9494","justic",273,0.00148289778868978,0.000772260728579992,1.92020354500803
"9963","learn",170,0.000923416205411219,0.000483810910499573,1.90863038714385
"3749","confess",131,0.000711573664169822,0.000374024655571715,1.9024779611979
"3704","concern",643,0.00349268600046714,0.00183589334286206,1.90244493997796
"14822","reverend",503,0.00273222559601084,0.00144308396686542,1.89332406065436
"15406","scheme",103,0.000559481583278562,0.000295963706250386,1.89037227019059
"17770","tune",168,0.000912552485347558,0.000491742236901206,1.85575371987193
"5382","duke",333,0.00180880939059962,0.000977640338559103,1.8501787613076
"3661","compleat",184,0.000999462245856849,0.000541417386469324,1.84601062107465
"6429","famous",106,0.000575777163374054,0.000314748426675305,1.82932499283953
"13993","propos",433,0.00235199539378269,0.00129447595639273,1.81694791793345
"7053","funer",126,0.000684414364010668,0.000380286229046688,1.79973480955747
"7416","god",119,0.000646391343787853,0.000361084070390104,1.79014084750266
"9778","lament",130,0.000706141804137991,0.000394479128923293,1.79006125384976
"3353","clergi",218,0.00118414548693909,0.000662891911883799,1.78633268216232
"3207","church",1206,0.00655082319838782,0.0037135305088906,1.76404184177414
"6472","father",193,0.00104834898614333,0.000594432041890761,1.76361452994484
"13841","princ",189,0.001026621546016,0.000588170468415789,1.74544898315137
"12907","paul",157,0.00085280202499742,0.000497586372144514,1.71387737433802
"5162","doctor",147,0.000798483424679113,0.000467530819464644,1.70787334531964
"12710","paper",217,0.00117871362690726,0.000691695149868674,1.70409410436238
"9630","king",986,0.00535581399138507,0.00314539707559472,1.70274654126853
"15362","saviour",100,0.00054318600318307,0.000322262314845272,1.68553994110006
"13909","proclam",331,0.00179794567053596,0.00106780699659871,1.68377401184199
"4592","declar",143,0.00077675598455179,0.000464191313611325,1.67335312354031
"2984","charact",231,0.00125475966735289,0.000750136502301754,1.67270845173209
"12607","oxford",185,0.00100489410588868,0.000605702874145713,1.65905454436879
"14209","quaker",120,0.000651823203819684,0.000396566320081618,1.643667580458
"5013","discours",443,0.002406313994101,0.00146854769899698,1.63856713387282
"6173","examin",194,0.00105378084617516,0.000643689753227215,1.63709433137921
"19102","write",116,0.000630095763692361,0.000385712926058331,1.63358736802373
"1034","articl",219,0.00118957734697092,0.000730516905413506,1.62840495292517
"15867","shew",147,0.000798483424679113,0.000490489922206211,1.62793033766638
"12685","pamphlet",144,0.000782187844583621,0.000482558595804579,1.620917856161
"15463","scot",106,0.000575777163374054,0.000355239935146796,1.62081203830905
"15733","sermon",1401,0.00761003590459481,0.00469743242092468,1.62004159350882
"8168","henri",340,0.00184683241082244,0.00115212951939502,1.60297291210125
"2238","brief",153,0.000831074584870097,0.000526807048361054,1.57756922094275
"9707","knight",111,0.000602936463533208,0.000384043173131672,1.56997052861681
"7525","grace",252,0.00136882872802134,0.000872028465947894,1.56970647343882
"12776","parliament",896,0.00486694658852031,0.00311033226413488,1.56476741878702
"10909","marriag",126,0.000684414364010668,0.000439979896174763,1.55555826518677
"6393","faith",273,0.00148289778868978,0.000955098674049201,1.55261213210876
"5457","duti",490,0.00266161141559704,0.00172193270561755,1.54571163374383
"17529","trade",289,0.00156980754919907,0.00101562721764061,1.54565328885718
"14550","reform",122,0.000662686923883345,0.000430378816846471,1.53977588566991
"16328","spiritu",201,0.00109180386639797,0.000712984499683582,1.53131501018957
"9632","kingdom",284,0.00154264824903992,0.00101604465587227,1.51828784308261
"76","abstract",141,0.000765892264488129,0.000510944395557789,1.49897380448222
"2256","britain",462,0.00250951933470578,0.00167476218543942,1.49843324414883
"6218","execut",178,0.000966871085665865,0.000647864135543864,1.4923979158905
"4868","dialogu",163,0.000885393185188404,0.000593597165427432,1.49157246152087
"11273","method",226,0.00122760036719374,0.0008244405075381,1.48901025115752
"10854","margaret",102,0.000554049723246731,0.000374024655571715,1.48131871787928
"11879","necess",104,0.000564913443310393,0.000381955981973347,1.47900142941029
"9863","latin",145,0.000787619704615451,0.000532651183604362,1.47867822105596
"8434","holi",267,0.0014503066284988,0.00098765885611906,1.46842871859387
"7956","happi",131,0.000711573664169822,0.000485063225194568,1.46697095803211
"5883","enquiri",123,0.000668118783915176,0.000456259987209693,1.46433788332203
"18737","westminst",238,0.00129278268757571,0.000889560871677818,1.45328187056763
"5133","divin",285,0.00154808010907175,0.00107490344653702,1.44020387511004
"4628","defenc",194,0.00105378084617516,0.000733856411266825,1.43594963537357
"6182","excel",381,0.0020695386721275,0.00144642347271874,1.4307972119932
"14652","religion",321,0.00174362707021765,0.00121891963646139,1.43046925987633
"18888","widow",147,0.000798483424679113,0.000562289298052567,1.42005801541054
"19021","wonder",101,0.000548617863214901,0.000390722184838309,1.40411239623348
"10733","majesti",1372,0.00745251196367172,0.00531315381263035,1.40265315601361
"14636","relat",485,0.00263445211543789,0.00188014179541853,1.40119863398465
"7510","govern",227,0.00123303222722557,0.00088204698350785,1.39792125621457
"15563","season",103,0.000559481583278562,0.000401575578861596,1.3932161533941
"13690","prayer",286,0.00155351196910358,0.00111581239324017,1.39226986410537
"266","advic",181,0.000983166665761357,0.000707975240903603,1.38870204628416
"5955","epistl",194,0.00105378084617516,0.000760572458093376,1.38551013116726
"5166","doctrin",175,0.000950575505570373,0.00068877308224702,1.38009967298557
"5492","earl",396,0.00215101657260496,0.00155871435703659,1.37999407196996
"3829","consider",295,0.00160239870939006,0.00116548754280829,1.37487416255777
"5843","england",773,0.00419882780460513,0.00306650124981007,1.36925683785885
"15476","scotland",374,0.00203151565190468,0.00148441035180024,1.3685674243924
"13804","prevent",185,0.00100489410588868,0.000739700546510133,1.35851475388212
"5732","elizabeth",140,0.000760460404456298,0.000560202106894243,1.35747508818252
"8774","imparti",112,0.000608368323565038,0.000448746099039725,1.35570721364908
"4560","debt",112,0.000608368323565038,0.00044999841373472,1.35193437353688
"14663","remark",425,0.00230854051352805,0.00170773980574094,1.35181044897319
"13345","plain",162,0.000879961325156573,0.000652455956092177,1.34869076899385
"19108","written",218,0.00118414548693909,0.000878290039422867,1.34823968596662
"13858","print",382,0.00207497053215933,0.001540764513075,1.34671490325162
"745","answer",651,0.00353614088072179,0.00262610391540364,1.34653501713327
"15503","scriptur",165,0.000896256905252065,0.000671240676517096,1.33522436378934
"11378","minist",311,0.00168930846989935,0.00127026453895617,1.32988713617679
"18657","week",115,0.00062466390366053,0.000471287763549628,1.32544053118568
"8549","hous",964,0.00523631307068479,0.0039523051774029,1.32487569548605
"115","accord",115,0.00062466390366053,0.000472540078244622,1.32192787960127
"9046","instant",103,0.000559481583278562,0.000424117243371498,1.3191672633515
"10087","letter",1526,0.00828901840857365,0.00630373473637106,1.31493769253138
"13874","privat",109,0.000592072743469546,0.000461686684221336,1.28241243185975
"5824","encourag",109,0.000592072743469546,0.000467113381232979,1.26751398537702
"6381","fair",103,0.000559481583278562,0.000443736840259747,1.26084095913935
"15915","short",336,0.00182510497069512,0.00145852918143702,1.25133250258107
"9173","ireland",460,0.00249865561464212,0.00199702450028469,1.25118926397043
"16969","tale",106,0.000575777163374054,0.000461686684221336,1.24711667685443
"18892","wife",229,0.00124389594728923,0.00100185175599567,1.24159681294666
