"","token","count","frequency","general_frequency","relative_frequency"
"8378","herit",103,0.00054458455600497,4.71705201781292e-05,11.5450190913406
"9630","jurisdict",107,0.000565733470801279,8.80794668812856e-05,6.42298927131088
"18910","whitefield",138,0.000729637560472678,0.000114795513707837,6.35597626514971
"3365","claim",322,0.00170248764110292,0.000399070949471607,4.26612772329609
"14633","rebellion",155,0.000819520448356994,0.000226251521562354,3.6221654674315
"298","advoc",290,0.00153329632273244,0.000444571716723077,3.44892908175607
"12465","object",169,0.000893541650144077,0.000321844876613607,2.77631155588294
"4362","crown",186,0.000983424538028392,0.000385712926058331,2.54962816019204
"1672","behaviour",105,0.000555159013403125,0.000222494577477371,2.49515749865674
"1413","ballad",147,0.000777222618764375,0.000326436697161921,2.3809290607387
"3832","conduct",263,0.00139054114785735,0.000615303953474004,2.2599255863811
"13992","pretend",110,0.000581595156898512,0.000263403524180527,2.20800066630812
"14859","repair",191,0.00100986068152378,0.000472540078244622,2.13709001207936
"8945","imparti",178,0.000941126708435773,0.000448746099039725,2.09723652294627
"13730","pope",107,0.000565733470801279,0.000289702132775413,1.95281085914495
"17089","take",103,0.00054458455600497,0.0002851103122271,1.910083685683
"15090","road",194,0.00102572236762101,0.000556027724577594,1.84473241581656
"18102","unto",547,0.00289211409839533,0.00158584784209481,1.82370213688031
"4776","defenc",253,0.00133766886086658,0.000733856411266825,1.8227937241257
"13825","power",193,0.00102043513892193,0.000575647321465843,1.77267417196257
"18877","wherein",112,0.000592169614296666,0.000338124967648537,1.75133359247281
"17238","term",113,0.000597456842995744,0.00034438654112351,1.73484376319304
"14973","reverend",472,0.00249557194596452,0.00144308396686542,1.72933245969412
"3752","compleat",176,0.000930552251037619,0.000541417386469324,1.71873359499204
"7625","god",117,0.000618605757792053,0.000361084070390104,1.71319038561776
"6019","enlarg",100,0.000528722869907738,0.000311826359053651,1.69556823711869
"7086","free",180,0.000951701165833928,0.000561871859820902,1.69380464459865
"11149","massachusettsbay",133,0.000703201416977291,0.000415351040506536,1.69302914498471
"6028","enquiri",144,0.000761360932667143,0.000456259987209693,1.66869976331549
"14279","publick",238,0.00125836043038042,0.000756815514008392,1.66270432765793
"4594","danger",112,0.000592169614296666,0.00035899687923178,1.64951187198021
"5759","effectu",220,0.00116319031379702,0.000708810117366933,1.64104643161416
"4133","council",701,0.00370634731805324,0.00228422200367012,1.62258629507034
"12499","occas",334,0.00176593438549184,0.00108951378464529,1.62084629894498
