"","token","count","frequency","general_frequency","relative_frequency"
"17407","pursuer",506,0.00192886821941829,0.000437475266784774,4.40909090380015
"6476","dougla",216,0.000823390386154843,0.000246288556682268,3.34319384240448
"21596","tutor",129,0.000491747036175809,0.000153617269252669,3.20111819828659
"1120","archibald",225,0.000857698318911295,0.000318087932528624,2.69641891816853
"19492","sinclair",102,0.000388823237906454,0.000146520819314366,2.65370641336791
"5729","deceast",115,0.000438379140776884,0.000169479922055933,2.58661400984245
"5787","defend",584,0.00222620363664087,0.000871611027716229,2.55412513822124
"3258","campbel",225,0.000857698318911295,0.000338124967648537,2.53663113042521
"19446","signet",148,0.000564174894217207,0.000226251521562354,2.4935739230453
"8743","garland",351,0.00133800937750162,0.000556445162809259,2.40456646391995
"20779","tenant",162,0.000617542789616132,0.000262151209485532,2.35567400519742
"21854","unto",978,0.00372812869286776,0.00158584784209481,2.35087414688104
"17911","relict",103,0.000392635230434948,0.000167392730897609,2.34559307521613
"16246","petit",1596,0.00608394007547745,0.00265407227692518,2.29230384129775
"9776","hamilton",215,0.000819578393626348,0.000362753823316764,2.25932392974581
"15953","patrick",202,0.000770022490755918,0.000341464473501856,2.2550588729159
"488","alexand",704,0.00268364274006023,0.00119846516310981,2.2392329978926
"23130","writer",346,0.00131894941485915,0.000596101794817421,2.21262446502636
"9204","gordon",179,0.000682346662600541,0.000309321729663662,2.20594480492038
"22915","wilson",107,0.000407883200548927,0.000184925136627533,2.20566661724557
"11423","jean",109,0.000415507185605916,0.00019327390126083,2.14983597317246
"13967","merchant",925,0.00352609308885755,0.00164094968867457,2.1488124305052
"17144","process",130,0.000495559028704304,0.000233765409732322,2.11989887328392
"5726","deceas",662,0.00252353905386345,0.00120013491603647,2.10271280348847
"1835","baronet",228,0.000869134296496779,0.000424117243371498,2.04927837780808
"9053","glasgow",270,0.00102923798269355,0.000505935136777811,2.0343279362816
"4429","coloni",405,0.00154385697404033,0.000760989896325041,2.02874832043881
"10915","inclos",538,0.00205085198033012,0.00104359557916215,1.96517886936302
"6325","divid",545,0.00207753592802958,0.00106405005251373,1.95247951270861
"22457","walter",103,0.000392635230434948,0.000202040104125792,1.94335294041667
"777","andrew",294,0.00112072580337743,0.000586918153720794,1.90950952236276
"15927","pastur",178,0.000678534670072047,0.000357327126305121,1.89891732286971
"10683","husband",191,0.000728090572942477,0.000384460611363337,1.89379757359432
"13924","memori",521,0.00198604810734571,0.00104943971440546,1.89248422761556
"5005","council",1129,0.00430373956467045,0.00228422200367012,1.88411614884872
"4572","complaint",184,0.000701406625243014,0.00037444209380338,1.87320452708323
"14247","miss",186,0.000709030610300004,0.000381538543741683,1.8583459572568
"2563","booksel",139,0.000529866961460756,0.000285945188690429,1.85303681410916
"5658","david",599,0.00228338352456829,0.001233112536338,1.85172355099828
"8030","field",465,0.00177257652575001,0.00095843817990252,1.84944273185183
"21285","township",115,0.000438379140776884,0.000237522353817306,1.84563319507212
"7586","executor",116,0.000442191133305379,0.00023960954497563,1.8454654356543
"11389","jamaica",128,0.000487935043647314,0.000264655838875522,1.84365871435321
"11022","inform",452,0.00172302062287958,0.000940070897709266,1.8328624224813
"17877","regni",130,0.000495559028704304,0.000272587165277154,1.8179837198147
"9527","ground",409,0.00155910494415431,0.000864514577777926,1.80344552218159
"6872","edinburgh",678,0.00258453093431937,0.00143849214631711,1.79669450468423
"5182","creditor",200,0.000762398505698929,0.000424534681603163,1.79584504808864
"13784","meadow",197,0.000750962528113445,0.00041910798459152,1.79181155149159
"2927","brown",162,0.000617542789616132,0.000346056294050169,1.78451541045112
"1362","astronom",127,0.00048412305111882,0.000271752288813824,1.78148656348756
"8881","genuin",308,0.00117409369877635,0.000660387282493809,1.77788659760776
"13476","margaret",174,0.000663286699958068,0.000374024655571715,1.77337694207405
"5647","daughter",236,0.000899630236724736,0.000509692080862795,1.76504652613371
"3343","captain",280,0.0010673579079785,0.000606537750609042,1.75975511319244
"8907","georgii",152,0.000579422864331186,0.00032977620301524,1.75701842350465
"19187","session",1124,0.00428467960202798,0.00245912862273769,1.74235685047574
"20123","stewart",120,0.000457439103419357,0.000262568647717197,1.74216955221572
"13267","magistr",159,0.000606106812030648,0.000351482991061813,1.72442714852184
"21055","throughout",137,0.000522242976403766,0.000304729909115348,1.71378968976125
"915","answer",1176,0.0044829032135097,0.00262610391540364,1.70705476931619
"21510","truste",377,0.00143712118324248,0.000843225227963018,1.70431473772925
"14901","newengland",293,0.00111691381084893,0.000660387282493809,1.69130121136062
"11391","jame",1328,0.00506232607784089,0.00299511931219537,1.69019179210269
"17857","regi",157,0.000598482826973659,0.000361084070390104,1.65746117331367
"13414","manor",228,0.000869134296496779,0.000525554733666059,1.65374649074901
"1236","art",133,0.000506995006289788,0.000312243797285316,1.62371522091924
"17995","repli",193,0.000735714557999466,0.000456677425441357,1.61101582213842
"1035","appendix",397,0.00151336103381237,0.00094382784179425,1.60342910729929
"3965","christi",167,0.000636602752258606,0.000401158140629931,1.58691221187475
"308","advoc",185,0.000705218617771509,0.000444571716723077,1.58628763649126
"12959","lover",175,0.000667098692486563,0.000422030052213174,1.58069002192669
"13628","master",789,0.00300766210498227,0.00190727528047675,1.57694179532934
"12638","lincoln",130,0.000495559028704304,0.000315583303138635,1.57029546169179
"17270","provinc",472,0.00179926047344947,0.00114920745177336,1.56565332975609
"52","aberdeen",114,0.000434567148248389,0.000280935929910451,1.54685500137668
"10620","hugh",115,0.000438379140776884,0.000285527750458765,1.53532936841526
"2582","borough",150,0.000571798879274197,0.000382373420205012,1.49539389784892
"14431","moor",108,0.000411695193077422,0.000275509232898808,1.49430633865049
"8489","freehold",244,0.000930126176952693,0.000627409662192285,1.48248621754192
"16234","peter",219,0.000834826363740327,0.000563959050979227,1.48029606456494
"16569","plantat",134,0.000510806998818282,0.000345638855818505,1.47786335424773
"5426","custom",143,0.000545114931574734,0.000369432835023402,1.47554543044395
"18262","robert",636,0.00242442724812259,0.00165138564446619,1.4681169454554
"22324","volum",326,0.00124270956428925,0.000859087880766283,1.44654533268563
"7249","entir",103,0.000392635230434948,0.000274256918203813,1.43163291196601
"6631","duke",365,0.00139137727290055,0.000977640338559103,1.42319953261261
"7422","esquir",434,0.00165440475736668,0.00116548754280829,1.41949587327233
"22894","william",1493,0.0056913048450425,0.00404038464428419,1.40860471121081
"254","administr",211,0.00080433042351237,0.000571472939149194,1.40746896031482
"22134","version",101,0.000385011245377959,0.000274674356435478,1.40170072799788
"5229","critic",134,0.000510806998818282,0.000365675890938418,1.39688454031635
"8608","furnitur",101,0.000385011245377959,0.000275926671130473,1.3953390000342
"11512","john",2404,0.00916403003850112,0.00657715677811154,1.39331178313988
"22154","vest",164,0.000625166774673122,0.000452503043124709,1.38157474114672
"23247","york",285,0.00108641787062097,0.000789375696078251,1.37630012681981
"19074","sell",130,0.000495559028704304,0.00036066663215844,1.37400852898032
"4577","complet",294,0.00112072580337743,0.000817344057599797,1.37117997366805
"6769","earl",560,0.002134715815957,0.00155871435703659,1.3695362503849
"5398","curious",193,0.000735714557999466,0.000544756892322643,1.35053740185397
"18060","respond",1002,0.00381961651355163,0.00285360775166099,1.33852191539933
"4546","companion",268,0.00102161399763656,0.000769756099190003,1.32719181921597
"6081","diari",133,0.000506995006289788,0.000384043173131672,1.32015107092129
"10464","honour",1844,0.00702931422254412,0.00534613143293187,1.31484126619932
"8896","georg",952,0.0036290168871269,0.00276511084654804,1.31243088922
"2594","boston",129,0.000491747036175809,0.000378199037888364,1.30023344036365
"18156","rhodeisland",106,0.000404071208020432,0.000311826359053651,1.29582120397625
"12027","ladi",499,0.00190218427171883,0.00146980001369197,1.29417897264863
"885","anno",219,0.000834826363740327,0.000646611820848869,1.29107810408472
"4504","commission",710,0.0027065146952312,0.00209679223765259,1.29078820811603
"1029","appeal",870,0.00331643349979034,0.00257976827168884,1.28555480590481
"6075","dialogu",200,0.000762398505698929,0.000593597165427432,1.28437019262036
"21316","tragedi",200,0.000762398505698929,0.000594849480122426,1.28166625537274
"18547","sacrament",196,0.00074715053558495,0.000588587906647453,1.26939498271491
"3512","catalogu",801,0.00305340601532421,0.00241905455249787,1.26223115231995
"13619","massachusettsbay",137,0.000522242976403766,0.000415351040506536,1.25735323972433
"1031","appel",977,0.00372431670033927,0.00297090789475881,1.25359547729823
"4384","collect",897,0.0034193572980597,0.00273171578801485,1.25172512933513
"20415","sung",134,0.000510806998818282,0.000408254590568234,1.25119719562078
"12899","lord",2980,0.011359737734914,0.00909973601206229,1.24835904248826
"15092","north",155,0.00059085884191667,0.000473792392939617,1.24708385090508
"22854","wife",326,0.00124270956428925,0.00100185175599567,1.24041262277793
"10067","heir",104,0.000396447222963443,0.000319757685455283,1.23983641675091
"6100","dictionari",143,0.000545114931574734,0.000441232210869758,1.23543775396679
"17228","proprietor",121,0.000461251095947852,0.00037360721734005,1.23458829096449
"21612","twenti",132,0.000503183013761293,0.000409089467031563,1.23000725834496
"4511","common",1367,0.00521099378645218,0.00423783292786166,1.22963643804654
"17132","prize",428,0.00163153280219571,0.00133580234132755,1.22138788929974
"17383","purchas",100,0.000381199252849464,0.000313913550211975,1.21434469009717
"9219","gospel",263,0.00100255403499409,0.000826110260464759,1.21358380711803
"18646","samuel",223,0.000850074333854306,0.000700878790965301,1.21286925044988
"19701","sold",597,0.0022757595395113,0.00188181154834519,1.20934508108027
"19626","smith",112,0.0004269431631914,0.000353570182220137,1.20752027365696
"15435","opera",132,0.000503183013761293,0.000419525422823185,1.19941006286374
"5971","design",129,0.000491747036175809,0.000410341781726558,1.19838402540129
"23106","worthi",137,0.000522242976403766,0.000435805513858114,1.19833953402846
"13253","magazin",109,0.000415507185605916,0.000346891170513499,1.19780271429465
"8437","franci",180,0.000686158655129036,0.000573142692075854,1.19718643300476
"21194","tongu",101,0.000385011245377959,0.000322679753076937,1.19316827816637
"2041","behalf",229,0.000872946289025274,0.0007317692201085,1.19292567251714
"18871","scot",111,0.000423131170662906,0.000355239935146796,1.19111374819966
"16426","pictur",131,0.000499371021232798,0.000420777737518179,1.18678099316322
"3764","charl",416,0.00158578889185377,0.00133663721779088,1.18640186787158
"22529","wast",172,0.000655662714901079,0.000552688218724275,1.18631570691789
"11547","joseph",214,0.000815766401097854,0.000688355644015355,1.18509437409313
"21000","thoma",831,0.00316776579117905,0.00268496270606838,1.17981742689366
"8730","garden",135,0.000514618991346777,0.000436640390321444,1.17858769539833
"20148","stock",106,0.000404071208020432,0.000343969102891845,1.17473111574061
"13538","marriag",135,0.000514618991346777,0.000439979896174763,1.1696420582416
"7207","english",767,0.00292379826935539,0.00250128988413584,1.16891620115656
"16430","piec",121,0.000461251095947852,0.000395314005386623,1.16679674806042
"17300","psalm",300,0.00114359775854839,0.000982649597339082,1.16378998337265
"8040","fifth",108,0.000411695193077422,0.000353987620451802,1.16302144281759
"1456","auction",337,0.00128464148210269,0.00110704619037521,1.16042265740266
"3926","choic",119,0.000453627110890863,0.000392809375996634,1.15482760496722
"7007","elegi",109,0.000415507185605916,0.000361501508621769,1.14939267387858
"22848","widow",169,0.000644226737315595,0.000562289298052567,1.14572114309628
"9280","governor",314,0.00119696565394732,0.00104526533208881,1.14513092245713
"9332","grammar",155,0.00059085884191667,0.000517205969032762,1.14240530329077
"8875","gentleman",347,0.00132276140738764,0.00116173059872331,1.13861286673632
"12534","liberti",260,0.000991118057408607,0.000872028465947894,1.13656617428339
"3881","children",291,0.00110928982579194,0.000978892653254098,1.13320885809529
"16656","pocket",105,0.000400259215491938,0.000353570182220137,1.1320502565534
"6602","dublin",293,0.00111691381084893,0.000987241417887395,1.13134820988267
"7822","farmer",111,0.000423131170662906,0.000375694408498374,1.12626422190879
"22542","water",105,0.000400259215491938,0.000355657373378461,1.12540676913231
"14197","minist",375,0.00142949719818549,0.00127026453895617,1.12535393561421
"11228","introduct",158,0.000602294819502154,0.00053849531884767,1.1184773542526
"301","adventur",221,0.000842450348797316,0.000755980637545062,1.11438085442645
"15655","oxford",177,0.000674722677543552,0.000605702874145713,1.11394993542863
"6906","edward",214,0.000815766401097854,0.00073427384949849,1.11098386746991
"14110","middlesex",119,0.000453627110890863,0.000408672028799898,1.11000283582652
"11950","knowledg",118,0.000449815118362368,0.00040533252294658,1.10974346468036
"15825","parish",635,0.0024206152555941,0.00218361938983889,1.10853350490385
"4794","contain",456,0.00173826859299356,0.00156831543636488,1.10836669249561
"672","america",328,0.00125033354934624,0.00113084016958011,1.10566778841125
"12133","languag",165,0.000628978767201616,0.000571055500917529,1.10143193821094
"2260","bibl",150,0.000571798879274197,0.000519293160191087,1.10110997622959
"16548","plain",188,0.000716654595356993,0.000652455956092177,1.09839536089045
"19905","spirit",130,0.000495559028704304,0.000451250728429714,1.09818998060962
"18113","review",114,0.000434567148248389,0.000395731443618288,1.09813651469041
"15745","pamphlet",139,0.000529866961460756,0.000482558595804579,1.09803652047126
"16947","prayer",321,0.00122364960164678,0.00111581239324017,1.09664456951716
"13489","mari",260,0.000991118057408607,0.000905006086249418,1.09515070944557
"17868","regist",139,0.000529866961460756,0.000486315539889563,1.08955383490538
"6781","easi",185,0.000705218617771509,0.000649533888470523,1.08573029104318
"4746","consid",209,0.000796706438455381,0.00073427384949849,1.08502630047295
"20841","testament",229,0.000872946289025274,0.000805655787113181,1.08352264451945
"18181","richard",292,0.00111310181832044,0.00102940267928555,1.08130845267761
"2560","book",846,0.00322494567910647,0.00298343104170876,1.08095197576928
"17518","question",125,0.000476499066061831,0.000440814772638093,1.0809507658062
"7600","exercis",104,0.000396447222963443,0.000367345643865077,1.07922124458091
"7769","faith",270,0.00102923798269355,0.000955098674049201,1.07762476344987
"12316","lectur",119,0.000453627110890863,0.000421195175749844,1.07699977826973
"12544","librari",234,0.000892006251667747,0.000829032328086413,1.07596075743716
"9369","grant",272,0.00103686196775054,0.000964699753377493,1.07480277062413
"4077","citi",669,0.00255022300156292,0.00237564097640472,1.07348838772027
"10553","hospit",145,0.000552738916631723,0.000515118777874438,1.07303196927225
"7426","essay",562,0.00214233980101399,0.00200579070314965,1.06807744080672
"7641","explain",175,0.000667098692486563,0.000625322471033961,1.06680748475826
"12950","love",273,0.00104067396027904,0.000977640338559103,1.0644752668582
"19198","settl",118,0.000449815118362368,0.000422864928676504,1.06373238322273
"6365","doctrin",191,0.000728090572942477,0.00068877308224702,1.0570833728972
"12087","land",492,0.00187550032401936,0.00177536479927065,1.05640278819871
"4471","command",227,0.000865322303968284,0.000819431248758121,1.05600354548318
"21389","treatis",317,0.0012084016315328,0.00114503306945671,1.05534212396691
"5031","counti",1317,0.00502039416002745,0.00476547485268605,1.05349294985739
"10116","henri",318,0.0012122136240613,0.00115212951939502,1.05215047757637
"3528","catech",158,0.000602294819502154,0.000572725253844189,1.05162958235121
"3954","christ",436,0.00166202874242366,0.00158167345977816,1.05080396471771
"4190","clerk",132,0.000503183013761293,0.00047921908995126,1.05000619614813
"10859","import",194,0.000739526550527961,0.000704635735050285,1.04951610277782
"10720","hymn",223,0.000850074333854306,0.000811499922356489,1.04753470756448
"4709","connecticut",110,0.000419319178134411,0.000401158140629931,1.04527151680373
"14051","method",226,0.00086151031143979,0.0008244405075381,1.04496358871592
"14961","newyork",187,0.000712842602828498,0.000684181261698706,1.04189144417465
"7044","elizabeth",153,0.000583234856859681,0.000560202106894243,1.04111507201058
"15995","peac",226,0.00086151031143979,0.000828197451623083,1.04022333050098
"12575","lieuten",130,0.000495559028704304,0.000477131898792936,1.03862062033158
"21795","univers",310,0.00118171768383334,0.00113960637244507,1.03695250606393
"3617","celebr",100,0.000381199252849464,0.000368180520328407,1.03535964507151
"18243","river",150,0.000571798879274197,0.000552270780492611,1.03535964507151
"13950","mention",107,0.000407883200548927,0.000394061690691628,1.0350744824574
"12582","life",743,0.00283231044867152,0.00275384001429308,1.02849491400051
"12178","late",1390,0.00529866961460756,0.00515619703752436,1.02763132906798
"21968","valuabl",178,0.000678534670072047,0.000660387282493809,1.02747991679929
"22263","virtu",101,0.000385011245377959,0.00037527697026671,1.02593890881269
