"","token","count","frequency","general_frequency","relative_frequency"
"3018","chichesterhous",140,0.000794524590536077,5.84413524330805e-05,13.5952464728783
"14989","sacheverel",226,0.0012825896961511,0.000110203693159523,11.6383549351155
"6245","exposd",131,0.000743448009715901,6.84598699930371e-05,10.8596176094333
"1794","bidder",141,0.000800199766182763,7.72260728579992e-05,10.3617824468965
"2539","cant",144,0.000817225293122822,8.43225227963018e-05,9.69166085195287
"15159","satyr",127,0.000720747307129156,0.000126483784194453,5.69833763054636
"3903","convoc",105,0.000595893442902058,0.000106864187306204,5.5761753111415
"13505","preachd",898,0.00509630773072427,0.0010323247469072,4.9367292085098
"14081","queen",711,0.00403504988479393,0.000874533095337883,4.61394760964988
"10667","marlborough",112,0.000635619672428862,0.000138589492912734,4.58634820771799
"5866","entitul",118,0.000669670726308979,0.000149860325167685,4.46863254540291
"12120","offerd",156,0.000885327400883057,0.000204962171747447,4.31946731113853
"7419","governour",123,0.000698046604542411,0.000162800910349296,4.28773157990778
"12752","peer",136,0.000771823887949332,0.000187847204249187,4.10878560069212
"7318","glorious",126,0.000715072131482469,0.000190351833639176,3.7565812622427
"14035","quaker",252,0.00143014426296494,0.000396566320081618,3.60631801175299
"17534","tryal",147,0.000834250820062881,0.000234182847963987,3.5623907870109
"17765","union",235,0.00133366627697127,0.00037527697026671,3.55381859969567
"6394","farm",124,0.000703721780189097,0.000203709857052452,3.45452984146909
"8277","holland",106,0.000601568618548744,0.000186177451322528,3.23115723346436
"16096","spain",134,0.000760473536655959,0.000238357230280635,3.19047815650735
"8450","humbl",820,0.00465364403028274,0.00145978149613202,3.18790452037753
"12071","occasion",131,0.000743448009715901,0.000243783927292279,3.04961864374497
"16507","success",128,0.000726422482775842,0.000244618803755608,2.9696101510724
"12257","ordinari",110,0.000624269321135489,0.000212893498149079,2.93230806277768
"16881","tempor",180,0.00102153161640353,0.000349395799903488,2.92370891889857
"684","ann",216,0.00122583793968423,0.000426621872761488,2.87335933281969
"13611","pretend",131,0.000743448009715901,0.000263403524180527,2.82246796822038
"1084","assert",112,0.000635619672428862,0.000226251521562354,2.80934982465383
